Number	Month	Day	Hour	Minute	Second	Easting (m)	Northing (m)	Depth (m)	Magnitude Mw
1	10 	27 	10 	17 	4.240 	3390 	5100 	3200 	nan
2	10 	27 	10 	29 	0.471 	3390 	5070 	3290 	-0.270 
3	10 	27 	10 	45 	59.239 	3120 	4650 	3680 	0.050 
4	10 	27 	10 	51 	52.702 	3390 	5070 	3500 	-0.270 
5	10 	27 	10 	52 	24.684 	3090 	4800 	3740 	nan
6	10 	27 	11 	31 	2.240 	3420 	5160 	3770 	-0.280 
7	10 	27 	11 	35 	38.481 	3420 	5040 	3350 	-0.070 
8	10 	27 	11 	43 	40.462 	3030 	4770 	3710 	-0.050 
9	10 	27 	11 	46 	14.567 	3420 	5070 	3500 	-0.160 
10	10 	27 	12 	14 	42.048 	3450 	5100 	3320 	-0.260 
11	10 	27 	12 	26 	15.776 	3450 	5100 	3320 	-0.280 
12	10 	27 	12 	46 	23.426 	3360 	5010 	3410 	-0.220 
13	10 	27 	12 	58 	17.282 	3420 	5100 	3500 	-0.380 
14	10 	27 	13 	30 	11.349 	3450 	5100 	3410 	0.030 
15	10 	27 	13 	57 	26.037 	3420 	5070 	3260 	nan
16	10 	27 	14 	3 	48.330 	3420 	5070 	3350 	-0.080 
17	10 	27 	14 	13 	52.887 	3420 	5130 	3620 	nan
18	10 	27 	14 	30 	49.146 	3450 	5100 	3380 	-0.160 
19	10 	27 	14 	56 	45.718 	3450 	5100 	3260 	0.060 
20	10 	27 	15 	25 	25.180 	3450 	5130 	3470 	nan
21	10 	27 	15 	44 	12.151 	3390 	4950 	3500 	-0.160 
22	10 	27 	16 	25 	12.521 	3390 	5130 	3560 	-0.240 
23	10 	27 	17 	0 	24.767 	3390 	5130 	3500 	-0.430 
24	10 	27 	17 	5 	21.878 	3030 	4770 	3980 	-0.070 
25	10 	27 	17 	6 	57.522 	3060 	4800 	3560 	-0.020 
26	10 	27 	17 	7 	40.501 	3060 	4740 	4070 	0.020 
27	10 	27 	17 	9 	31.988 	3000 	4740 	3890 	-0.140 
28	10 	27 	17 	15 	7.285 	2940 	4770 	3980 	-0.030 
29	10 	27 	17 	20 	50.708 	3450 	5100 	3320 	0.120 
30	10 	27 	17 	47 	3.720 	2970 	4620 	3800 	-0.060 
31	10 	27 	18 	1 	48.111 	3450 	5100 	3380 	nan
32	10 	27 	18 	10 	32.954 	3300 	4950 	3230 	-0.370 
33	10 	27 	18 	22 	12.594 	3450 	5130 	3440 	-0.610 
34	10 	27 	18 	39 	19.059 	3360 	5040 	3350 	0.070 
35	10 	27 	18 	53 	6.699 	3420 	5160 	3320 	nan
36	10 	27 	19 	6 	2.280 	3450 	5100 	3410 	-0.230 
37	10 	27 	19 	15 	44.151 	3450 	5100 	3320 	0.120 
38	10 	27 	19 	16 	22.361 	3360 	5040 	3440 	-0.140 
39	10 	27 	19 	16 	32.577 	3420 	5070 	3470 	-0.320 
40	10 	27 	19 	51 	20.790 	3420 	5100 	3500 	-0.450 
41	10 	27 	20 	9 	48.930 	3450 	5160 	3470 	nan
42	10 	27 	20 	22 	35.934 	3360 	5040 	3440 	-0.320 
43	10 	27 	20 	23 	28.756 	3450 	5130 	3530 	nan
44	10 	27 	20 	25 	55.917 	3480 	5160 	3440 	0.150 
45	10 	27 	20 	57 	12.484 	3390 	5100 	3530 	-0.360 
46	10 	27 	21 	26 	17.512 	3450 	5100 	3410 	0.270 
47	10 	27 	21 	59 	37.587 	3450 	5100 	3440 	-0.780 
48	10 	27 	22 	15 	51.528 	3450 	5160 	3530 	-0.450 
49	10 	27 	22 	22 	42.823 	3360 	5100 	3620 	nan
50	10 	27 	22 	27 	39.055 	3420 	5100 	3320 	nan
51	10 	27 	22 	36 	38.695 	3480 	5130 	3290 	0.180 
52	10 	27 	22 	37 	28.202 	3390 	5040 	3470 	-0.210 
53	10 	27 	22 	49 	17.575 	3450 	5160 	3590 	-0.300 
54	10 	27 	22 	56 	39.259 	3420 	5100 	3500 	-0.240 
55	10 	27 	23 	15 	41.012 	3480 	5130 	3440 	-0.340 
56	10 	27 	23 	24 	36.550 	3450 	5040 	3260 	-0.070 
57	10 	28 	0 	8 	58.372 	3360 	5040 	3350 	0.220 
58	10 	28 	0 	44 	20.305 	3390 	5040 	3410 	-0.140 
59	10 	28 	0 	44 	24.469 	3450 	5130 	3380 	-0.150 
60	10 	28 	1 	19 	13.219 	3450 	5130 	3320 	-0.450 
61	10 	28 	1 	32 	50.095 	3390 	5100 	3470 	-0.280 
62	10 	28 	1 	42 	32.234 	3450 	5100 	3470 	-0.090 
63	10 	28 	1 	54 	55.424 	3420 	5130 	3440 	-0.380 
64	10 	28 	2 	12 	57.108 	3450 	5070 	3410 	-0.150 
65	10 	28 	2 	13 	26.461 	3420 	5100 	3440 	-0.320 
66	10 	28 	2 	32 	54.165 	3450 	5130 	3470 	-0.660 
67	10 	28 	3 	10 	44.466 	3390 	5070 	3380 	-0.100 
68	10 	28 	3 	22 	59.410 	3450 	5130 	3260 	-0.110 
69	10 	28 	4 	12 	20.211 	3480 	5160 	3350 	-0.010 
70	10 	28 	4 	36 	4.320 	3360 	5010 	3470 	-0.230 
71	10 	28 	6 	27 	59.738 	3330 	4980 	3380 	-0.320 
72	10 	28 	6 	45 	40.165 	3390 	5100 	3410 	-0.030 
73	10 	28 	7 	34 	58.151 	3270 	4920 	3350 	-0.230 
74	10 	28 	7 	35 	19.551 	3420 	4980 	3500 	-0.080 
75	10 	28 	7 	48 	59.324 	3240 	4890 	3260 	-0.310 
76	10 	28 	7 	50 	57.060 	3300 	4980 	3500 	-0.620 
77	10 	28 	8 	6 	55.938 	3300 	4980 	3710 	-0.130 
78	10 	28 	8 	26 	13.382 	3330 	4980 	3410 	-0.240 
79	10 	28 	8 	30 	16.728 	3420 	5010 	3350 	-0.270 
80	10 	28 	8 	58 	32.649 	3240 	4920 	3260 	-0.380 
81	10 	28 	9 	3 	38.965 	3360 	4890 	3320 	-0.220 
82	10 	28 	9 	11 	58.224 	3480 	5130 	3290 	0.080 
83	10 	28 	9 	33 	36.983 	3390 	5070 	3260 	-0.340 
84	10 	28 	9 	33 	43.374 	3180 	4950 	3560 	-0.310 
85	10 	28 	9 	40 	52.507 	3300 	4920 	3350 	-0.270 
86	10 	28 	10 	5 	13.728 	3210 	4920 	3530 	-1.340 
87	10 	28 	10 	18 	2.967 	3360 	4980 	3230 	-0.250 
88	10 	28 	10 	19 	23.583 	3450 	5130 	3470 	-0.430 
89	10 	28 	10 	35 	2.617 	3240 	4920 	3440 	-0.230 
90	10 	28 	10 	49 	28.640 	3330 	4920 	3350 	-0.240 
91	10 	28 	10 	54 	54.444 	3210 	4920 	3440 	-0.250 
92	10 	28 	11 	9 	0.166 	3330 	4950 	3500 	-0.430 
93	10 	28 	11 	43 	27.351 	3360 	4980 	3530 	-0.150 
94	10 	28 	12 	55 	10.023 	3390 	4980 	3320 	-0.290 
95	10 	28 	13 	2 	33.106 	3390 	5040 	3200 	-0.330 
96	10 	28 	13 	27 	47.600 	3330 	4950 	3260 	-0.070 
97	10 	28 	13 	32 	8.050 	3180 	4920 	3470 	-0.410 
98	10 	28 	13 	35 	56.963 	3270 	4920 	3230 	-0.390 
99	10 	28 	14 	1 	47.826 	3390 	4980 	3440 	-0.250 
100	10 	28 	14 	12 	51.506 	3480 	5130 	3320 	-0.100 
101	10 	28 	14 	12 	54.844 	3480 	5130 	3320 	-0.370 
102	10 	28 	14 	13 	17.303 	3420 	5130 	3560 	nan
103	10 	28 	14 	21 	29.514 	3210 	4680 	3200 	-0.370 
104	10 	28 	15 	29 	30.733 	3330 	4980 	3650 	-0.370 
105	10 	28 	15 	40 	55.254 	3480 	5160 	3440 	0.040 
106	10 	28 	15 	43 	55.515 	3240 	4950 	3320 	-0.340 
107	10 	28 	16 	3 	43.803 	3330 	4920 	3320 	-0.390 
108	10 	28 	16 	9 	42.408 	3240 	4890 	3440 	-0.280 
109	10 	28 	16 	34 	17.572 	3330 	4950 	3590 	-0.200 
110	10 	28 	17 	2 	33.714 	3360 	4980 	3440 	-0.370 
111	10 	28 	17 	24 	40.410 	3330 	4950 	3530 	-0.560 
112	10 	28 	17 	31 	23.238 	3270 	4950 	3320 	-0.090 
113	10 	28 	17 	44 	56.955 	3360 	4980 	3500 	0.080 
114	10 	28 	18 	1 	12.962 	3450 	5160 	3500 	nan
115	10 	28 	18 	4 	2.819 	3240 	4920 	3500 	-0.280 
116	10 	28 	18 	16 	51.140 	3450 	5130 	3290 	-0.240 
117	10 	28 	18 	19 	24.568 	3480 	5130 	3410 	-0.020 
118	10 	28 	18 	21 	32.059 	3240 	4950 	3320 	-0.180 
119	10 	28 	19 	7 	50.370 	3270 	4950 	3470 	-0.310 
120	10 	28 	19 	22 	10.417 	3360 	4980 	3500 	-0.310 
121	10 	28 	19 	36 	21.431 	3390 	5130 	3440 	-0.290 
122	10 	28 	19 	42 	57.716 	3240 	4920 	3320 	-0.400 
123	10 	28 	20 	2 	1.438 	3210 	4950 	3560 	-0.180 
124	10 	28 	20 	4 	44.608 	3360 	4980 	3350 	-0.340 
125	10 	28 	20 	33 	23.724 	3330 	4920 	3440 	-0.390 
126	10 	28 	20 	37 	55.230 	3240 	4920 	3560 	-0.250 
127	10 	28 	20 	53 	40.753 	3240 	4920 	3320 	-0.640 
128	10 	28 	21 	1 	16.495 	3390 	5010 	3470 	0.020 
129	10 	28 	21 	45 	30.100 	3420 	5100 	3260 	-0.300 
130	10 	28 	21 	45 	35.952 	3450 	5130 	3470 	-0.140 
131	10 	28 	21 	45 	51.227 	3480 	5130 	3440 	-0.220 
132	10 	28 	22 	6 	38.843 	3300 	4950 	3500 	-0.220 
133	10 	28 	22 	48 	39.145 	3270 	4920 	3410 	-0.190 
134	10 	28 	23 	16 	4.014 	3360 	4950 	3320 	-0.210 
135	10 	28 	23 	44 	32.730 	3360 	4950 	3260 	-0.120 
136	10 	28 	23 	55 	46.385 	3270 	4920 	3290 	-0.150 
137	10 	29 	0 	8 	24.092 	3360 	4920 	3350 	-0.310 
138	10 	29 	0 	33 	46.346 	3360 	4950 	3260 	-0.100 
139	10 	29 	0 	54 	9.208 	3210 	4950 	3800 	-0.110 
140	10 	29 	0 	54 	18.938 	3210 	4890 	3260 	-0.250 
141	10 	29 	0 	56 	9.733 	3450 	5160 	3290 	-0.230 
142	10 	29 	1 	9 	7.901 	3330 	4890 	3590 	-0.050 
143	10 	29 	2 	12 	4.034 	3420 	5130 	3290 	-0.150 
144	10 	29 	3 	11 	46.694 	3240 	4920 	3470 	-0.160 
145	10 	29 	3 	32 	17.429 	3240 	4920 	3290 	-0.060 
146	10 	29 	3 	32 	30.283 	3210 	4890 	3470 	nan
147	10 	29 	3 	50 	2.079 	3150 	4770 	3200 	-0.230 
148	10 	29 	3 	58 	24.597 	3450 	5130 	3470 	-0.240 
149	10 	29 	3 	59 	33.683 	3450 	5130 	3410 	-0.890 
150	10 	29 	4 	37 	25.777 	3240 	4950 	3260 	nan
151	10 	29 	5 	30 	13.339 	3240 	4920 	3230 	-0.440 
152	10 	29 	5 	36 	3.959 	3240 	4950 	3320 	-0.350 
153	10 	29 	5 	44 	35.016 	3270 	4950 	3350 	-0.120 
154	10 	29 	5 	45 	57.389 	3240 	4920 	3380 	-0.350 
155	10 	29 	6 	20 	45.804 	3180 	4860 	3170 	nan
156	10 	29 	6 	21 	14.284 	3210 	4920 	3290 	-0.250 
157	10 	29 	6 	37 	11.961 	3390 	4980 	3380 	-0.610 
158	10 	29 	7 	2 	10.121 	3360 	4980 	3320 	-0.530 
159	10 	29 	7 	3 	46.158 	3300 	4950 	3560 	-0.640 
160	10 	29 	7 	30 	20.151 	3360 	4950 	3200 	0.020 
161	10 	29 	7 	32 	0.914 	3240 	4950 	3440 	nan
162	10 	29 	7 	33 	29.479 	3240 	4950 	3320 	nan
163	10 	29 	7 	34 	46.828 	3270 	4920 	3290 	-0.120 
164	10 	29 	7 	52 	25.648 	3360 	4920 	3350 	nan
165	10 	29 	8 	1 	35.926 	3210 	4950 	3440 	nan
166	10 	29 	8 	5 	12.584 	3270 	4950 	3320 	-0.280 
167	10 	29 	8 	12 	3.412 	3240 	4920 	3470 	nan
168	10 	29 	8 	14 	9.876 	3120 	4800 	3230 	-0.630 
169	10 	29 	8 	17 	4.443 	3240 	4950 	3440 	-0.250 
170	10 	29 	8 	18 	43.371 	3240 	4950 	3470 	-0.200 
171	10 	29 	8 	30 	39.041 	3360 	4950 	3350 	-0.300 
172	10 	29 	8 	33 	55.652 	3210 	4950 	3230 	0.240 
173	10 	29 	8 	34 	22.311 	3120 	4770 	3350 	-0.150 
174	10 	29 	9 	19 	9.581 	3360 	4980 	3440 	nan
175	10 	29 	9 	30 	45.046 	3390 	4980 	3410 	0.020 
176	10 	29 	9 	42 	54.010 	3240 	4950 	3440 	-0.360 
177	10 	29 	9 	45 	45.641 	3270 	4950 	3320 	-0.050 
178	10 	29 	10 	11 	17.320 	3270 	4950 	3320 	0.210 
179	10 	29 	10 	23 	21.366 	3450 	5100 	3530 	-0.410 
180	10 	29 	10 	26 	11.410 	3240 	4950 	3380 	-0.400 
181	10 	29 	10 	34 	49.871 	3240 	4980 	3320 	-0.730 
182	10 	29 	11 	0 	0.490 	3360 	5010 	3680 	0.000 
183	10 	29 	11 	9 	41.383 	3450 	5160 	3380 	-0.200 
184	10 	29 	11 	14 	2.848 	3360 	4890 	3440 	-0.310 
185	10 	29 	11 	16 	24.131 	3210 	4950 	3680 	nan
186	10 	29 	11 	34 	14.992 	3390 	4980 	3410 	-0.150 
187	10 	29 	11 	46 	30.744 	3360 	5010 	3470 	nan
188	10 	29 	11 	58 	19.407 	3180 	4920 	3170 	-0.120 
189	10 	29 	12 	14 	21.452 	3300 	4950 	3440 	-0.400 
190	10 	29 	12 	31 	12.429 	3210 	4920 	3290 	-0.380 
191	10 	29 	12 	33 	16.563 	3210 	4950 	3500 	-0.490 
192	10 	29 	12 	33 	55.481 	3240 	4950 	3350 	nan
193	10 	29 	12 	43 	58.169 	3270 	4980 	3410 	-0.220 
194	10 	29 	12 	44 	9.222 	3270 	4950 	3350 	-0.030 
195	10 	29 	12 	44 	14.944 	3210 	4860 	3380 	-0.360 
196	10 	29 	13 	16 	13.405 	3240 	4920 	3440 	-0.370 
197	10 	29 	13 	22 	3.418 	3240 	4980 	3320 	-0.090 
198	10 	29 	13 	24 	48.131 	3360 	4980 	3320 	0.080 
199	10 	29 	13 	26 	4.659 	3330 	4770 	3170 	-0.380 
200	10 	29 	13 	33 	22.186 	3270 	4950 	3320 	-0.310 
201	10 	29 	13 	41 	45.167 	3240 	4950 	3410 	-0.040 
202	10 	29 	14 	10 	22.744 	3270 	4950 	3380 	nan
203	10 	29 	14 	11 	3.643 	3270 	4860 	3530 	-0.240 
204	10 	29 	14 	11 	6.291 	3270 	4860 	3530 	-0.340 
205	10 	29 	14 	11 	39.557 	3240 	4980 	3590 	-0.200 
206	10 	29 	14 	31 	43.702 	3330 	4980 	3560 	-0.360 
207	10 	29 	15 	17 	14.542 	3390 	4950 	3410 	-0.130 
208	10 	29 	15 	28 	14.248 	3210 	4890 	3500 	-0.020 
209	10 	29 	15 	29 	16.799 	3270 	4980 	3680 	-0.080 
210	10 	29 	15 	43 	14.333 	3240 	4950 	3140 	nan
211	10 	29 	16 	4 	6.810 	3240 	4890 	3350 	-0.150 
212	10 	29 	16 	9 	17.373 	3360 	5040 	3380 	-0.220 
213	10 	29 	16 	16 	1.473 	3360 	4980 	3500 	-0.300 
214	10 	29 	16 	38 	1.021 	3330 	4920 	3530 	-0.380 
215	10 	29 	16 	38 	46.977 	3360 	4980 	3470 	-0.170 
216	10 	29 	16 	59 	23.811 	3270 	4980 	3470 	-0.540 
217	10 	29 	17 	1 	44.065 	3270 	4950 	3350 	-0.220 
218	10 	29 	17 	2 	1.004 	3210 	4860 	3230 	0.090 
219	10 	29 	17 	11 	5.815 	3210 	5010 	3530 	-0.350 
220	10 	29 	17 	16 	9.974 	3270 	4920 	3470 	-0.610 
221	10 	29 	17 	30 	54.680 	3270 	4980 	3380 	-0.670 
222	10 	29 	18 	0 	31.287 	3270 	4950 	3410 	-1.000 
223	10 	29 	18 	8 	3.460 	3330 	4980 	3620 	-0.530 
224	10 	29 	18 	17 	16.500 	3270 	4950 	3230 	-0.030 
225	10 	29 	18 	45 	59.388 	3330 	4950 	3290 	-0.220 
226	10 	29 	19 	2 	51.966 	3180 	4950 	3560 	nan
227	10 	29 	19 	11 	24.974 	3270 	4950 	3320 	-0.230 
228	10 	29 	19 	12 	11.189 	3240 	4980 	3350 	-0.420 
229	10 	29 	19 	12 	11.164 	3240 	4980 	3500 	-0.420 
230	10 	29 	19 	41 	40.719 	3330 	4950 	3680 	-0.180 
231	10 	29 	19 	46 	47.455 	3330 	4890 	3140 	-0.360 
232	10 	29 	20 	8 	13.099 	3210 	4950 	3710 	-0.110 
233	10 	29 	20 	17 	53.482 	3270 	4950 	3320 	-0.220 
234	10 	29 	20 	19 	34.314 	3270 	4980 	3410 	-0.110 
235	10 	29 	20 	41 	38.461 	3270 	4890 	3200 	-0.590 
236	10 	29 	20 	43 	10.196 	3210 	4920 	3500 	nan
237	10 	29 	20 	43 	17.225 	3270 	4950 	3470 	-0.100 
238	10 	29 	21 	0 	33.980 	3390 	5010 	3440 	-0.910 
239	10 	29 	21 	33 	45.951 	3270 	5010 	3350 	-0.370 
240	10 	29 	21 	51 	16.668 	3240 	4980 	3650 	nan
241	10 	29 	21 	52 	17.867 	3270 	4980 	3380 	-0.340 
242	10 	29 	21 	52 	37.745 	3270 	4950 	3350 	nan
243	10 	29 	21 	54 	31.280 	3270 	4950 	3320 	-0.600 
244	10 	29 	22 	5 	42.223 	3330 	4890 	3500 	-0.380 
245	10 	29 	22 	6 	9.761 	3360 	4980 	3470 	-0.620 
246	10 	29 	22 	24 	23.737 	3270 	4950 	3260 	0.000 
247	10 	29 	22 	49 	43.045 	3240 	4950 	3350 	-0.060 
248	10 	29 	22 	49 	54.454 	3210 	4890 	3320 	-0.310 
249	10 	29 	22 	59 	23.116 	3360 	4950 	3320 	-1.170 
250	10 	29 	23 	21 	2.153 	3480 	5160 	3530 	-0.250 
251	10 	29 	23 	29 	3.019 	3210 	4950 	3260 	0.120 
252	10 	30 	0 	30 	51.174 	3360 	4980 	3350 	-0.080 
253	10 	30 	1 	34 	10.458 	3270 	4980 	3500 	-0.150 
254	10 	30 	1 	35 	57.839 	3300 	4950 	3320 	-0.170 
255	10 	30 	2 	26 	37.441 	3330 	4950 	3470 	-0.290 
256	10 	30 	2 	27 	58.650 	3270 	4980 	3410 	0.030 
257	10 	30 	2 	41 	37.026 	3270 	4980 	3410 	-0.350 
258	10 	30 	3 	7 	38.776 	3270 	4950 	3320 	-0.080 
259	10 	30 	3 	7 	44.074 	3210 	4920 	3650 	0.050 
260	10 	30 	3 	45 	38.982 	3240 	4920 	3440 	-0.270 
261	10 	30 	4 	7 	44.799 	3210 	4950 	3530 	-0.130 
262	10 	30 	4 	7 	51.546 	3210 	4980 	3740 	-0.120 
263	10 	30 	4 	7 	58.385 	3270 	4950 	3320 	nan
264	10 	30 	4 	8 	3.199 	3180 	4920 	3320 	-0.110 
265	10 	30 	4 	8 	32.256 	3330 	4950 	3440 	-0.290 
266	10 	30 	5 	6 	48.890 	3240 	4920 	3110 	0.030 
267	10 	30 	5 	22 	40.330 	3270 	4980 	3320 	-0.200 
268	10 	30 	6 	52 	5.503 	3270 	4980 	3320 	nan
269	10 	30 	6 	52 	10.638 	3300 	4980 	3260 	nan
270	10 	30 	6 	52 	12.931 	3180 	4950 	3350 	nan
271	10 	30 	6 	54 	6.719 	3300 	4950 	3500 	nan
272	10 	30 	7 	0 	34.577 	3240 	4980 	3590 	nan
273	10 	30 	7 	2 	50.920 	3270 	4980 	3260 	nan
274	10 	30 	7 	3 	0.683 	3240 	4980 	3350 	nan
275	10 	30 	7 	3 	28.679 	3270 	4950 	3590 	-0.220 
276	10 	30 	7 	12 	14.636 	3270 	4980 	3200 	nan
277	10 	30 	7 	26 	32.499 	3330 	4980 	3590 	-0.150 
278	10 	30 	7 	58 	17.404 	3480 	5100 	3260 	-0.180 
279	10 	30 	7 	59 	25.305 	3450 	5130 	3470 	-0.490 
280	10 	30 	8 	12 	59.688 	3270 	4980 	3290 	-0.200 
281	10 	30 	8 	40 	57.585 	3270 	4980 	3410 	0.090 
282	10 	30 	8 	40 	57.588 	3270 	4980 	3410 	0.090 
283	10 	30 	8 	41 	42.952 	3270 	4980 	3320 	0.020 
284	10 	30 	9 	38 	38.904 	3360 	4980 	3500 	-0.570 
285	10 	30 	9 	40 	50.564 	3270 	4950 	3410 	0.050 
286	10 	30 	9 	47 	25.304 	3240 	4950 	3350 	-0.470 
287	10 	30 	9 	47 	29.270 	3240 	4950 	3440 	-0.510 
288	10 	30 	9 	47 	54.349 	3210 	4950 	3500 	-0.620 
289	10 	30 	10 	7 	47.380 	3360 	5010 	3560 	-0.300 
290	10 	30 	10 	35 	48.992 	3330 	4890 	3110 	nan
291	10 	30 	11 	22 	55.468 	3360 	4980 	3320 	-0.150 
292	10 	30 	11 	23 	31.238 	3240 	4800 	3320 	-0.100 
293	10 	30 	11 	25 	46.379 	3300 	4980 	3230 	0.010 
294	10 	30 	11 	25 	50.297 	3240 	4980 	3380 	-0.210 
295	10 	30 	13 	20 	51.367 	3270 	4950 	3260 	0.100 
296	10 	30 	13 	47 	44.115 	3330 	4920 	3440 	-0.310 
297	10 	30 	14 	48 	42.660 	3270 	4950 	3470 	-0.140 
298	10 	30 	14 	49 	2.870 	3240 	4920 	3470 	-0.230 
299	10 	30 	14 	49 	54.437 	3270 	4950 	3470 	0.050 
300	10 	30 	14 	56 	37.523 	3180 	4890 	3260 	-0.030 
301	10 	30 	15 	23 	37.274 	3360 	4980 	3410 	-0.900 
302	10 	30 	15 	23 	51.960 	3360 	4950 	3410 	-0.510 
303	10 	30 	16 	19 	20.097 	3360 	4980 	3500 	-0.290 
304	10 	30 	16 	21 	45.493 	3300 	4950 	3500 	-0.240 
305	10 	30 	17 	15 	32.889 	3300 	4980 	3320 	-0.260 
306	10 	30 	18 	36 	17.114 	3270 	4830 	3440 	-0.190 
307	10 	30 	18 	36 	54.668 	3240 	4950 	3680 	-0.040 
308	10 	30 	18 	36 	59.735 	3240 	4950 	3350 	nan
309	10 	30 	19 	13 	16.491 	3330 	4980 	3530 	-0.390 
310	10 	30 	19 	59 	44.240 	3210 	4980 	3530 	-1.310 
311	10 	30 	20 	10 	0.531 	3330 	5010 	3560 	-0.280 
312	10 	30 	21 	5 	50.802 	3240 	4890 	3350 	-0.220 
313	10 	30 	21 	5 	54.044 	3240 	4920 	3170 	-0.220 
314	10 	30 	21 	6 	0.055 	3300 	4980 	3200 	-0.190 
315	10 	30 	21 	6 	7.622 	3270 	4950 	3470 	-0.210 
316	10 	30 	22 	18 	53.401 	3210 	4860 	3320 	-0.040 
317	10 	30 	22 	19 	0.085 	3270 	4980 	3320 	0.030 
318	10 	30 	23 	11 	37.464 	3360 	4980 	3500 	-0.290 
319	10 	30 	23 	15 	11.105 	3360 	4920 	3500 	-0.230 
320	10 	30 	23 	15 	26.948 	3360 	4950 	3500 	-0.390 
321	10 	31 	1 	28 	12.106 	3270 	4980 	3290 	-0.300 
322	10 	31 	1 	28 	38.566 	3270 	4980 	3320 	-0.120 
323	10 	31 	1 	29 	20.067 	3270 	4980 	3410 	-0.250 
324	10 	31 	1 	29 	57.217 	3210 	4980 	3260 	-0.200 
325	10 	31 	1 	40 	48.917 	3210 	4950 	3560 	-0.340 
326	10 	31 	1 	44 	6.361 	3300 	5010 	3380 	-0.340 
327	10 	31 	1 	44 	41.683 	3210 	4950 	3560 	-0.340 
328	10 	31 	1 	48 	16.395 	3240 	4980 	3470 	-0.430 
329	10 	31 	2 	14 	28.346 	3270 	4950 	3320 	-0.400 
330	10 	31 	2 	28 	57.073 	3270 	4980 	3470 	-0.130 
331	10 	31 	2 	29 	29.424 	3270 	5010 	3230 	-0.040 
332	10 	31 	2 	32 	23.914 	3240 	4980 	3590 	-0.530 
333	10 	31 	2 	37 	57.707 	3150 	4920 	3320 	-0.420 
334	10 	31 	2 	42 	55.495 	3210 	4980 	3500 	-0.600 
335	10 	31 	2 	48 	43.308 	3270 	4980 	3500 	-0.370 
336	10 	31 	2 	54 	32.964 	3210 	4920 	3470 	-0.240 
337	10 	31 	2 	55 	11.009 	3180 	4950 	3410 	-0.350 
338	10 	31 	3 	15 	37.591 	3210 	5010 	3470 	nan
339	10 	31 	3 	29 	38.821 	3300 	5010 	3380 	-0.080 
340	10 	31 	3 	29 	56.310 	3210 	4980 	3440 	-0.150 
341	10 	31 	5 	45 	42.922 	3210 	4950 	3410 	-0.280 
342	10 	31 	6 	13 	30.430 	3270 	4950 	3170 	-0.100 
343	10 	31 	6 	14 	1.934 	3270 	4980 	3410 	-0.230 
344	10 	31 	6 	14 	45.808 	3270 	5010 	3500 	-0.270 
345	10 	31 	6 	15 	31.703 	3270 	4980 	3530 	-0.130 
346	10 	31 	6 	18 	33.520 	3270 	4980 	3320 	-0.220 
347	10 	31 	7 	15 	29.665 	3300 	5010 	3650 	nan
348	10 	31 	7 	17 	22.713 	3330 	4920 	3350 	-0.080 
349	10 	31 	8 	44 	6.677 	3210 	4890 	3320 	-0.070 
350	10 	31 	9 	27 	25.469 	3240 	4980 	3350 	-0.130 
351	10 	31 	13 	34 	22.054 	3240 	4980 	3530 	nan
352	10 	31 	13 	43 	46.565 	3270 	5010 	3560 	-0.290 
353	10 	31 	13 	44 	43.686 	3240 	4950 	3470 	nan
354	10 	31 	16 	23 	58.368 	3270 	4980 	3500 	nan
355	10 	31 	16 	24 	12.891 	3300 	5010 	3380 	-0.420 
356	10 	31 	16 	25 	39.971 	3240 	5010 	3500 	nan
357	10 	31 	19 	7 	52.586 	3360 	4980 	3440 	-0.060 
358	10 	31 	19 	12 	45.919 	3330 	5010 	3860 	-0.530 
359	10 	31 	19 	30 	26.301 	3270 	5010 	3440 	nan
360	10 	31 	19 	31 	37.911 	3270 	4950 	3140 	-0.190 
361	10 	31 	19 	32 	33.096 	3270 	5010 	3260 	0.110 
362	10 	31 	23 	1 	34.604 	3150 	4680 	3770 	-0.150 
363	10 	31 	23 	17 	6.918 	3060 	4590 	3590 	-0.270 
364	10 	31 	23 	29 	31.809 	3300 	4980 	3200 	-0.070 
365	10 	31 	23 	32 	35.124 	2910 	4260 	3200 	-0.100 
366	10 	31 	23 	32 	40.102 	3270 	4950 	3470 	-0.310 
367	10 	31 	23 	33 	40.599 	3270 	4980 	3260 	-0.290 
368	10 	31 	23 	33 	57.117 	3240 	4950 	3350 	-0.190 
369	10 	31 	23 	34 	20.095 	3270 	4950 	3350 	-0.230 
370	10 	31 	23 	34 	26.679 	3240 	4950 	3410 	-0.140 
371	10 	31 	23 	34 	31.414 	3270 	4950 	3320 	-0.160 
372	10 	31 	23 	43 	3.097 	2910 	4260 	3260 	-0.120 
373	10 	31 	23 	44 	43.311 	2910 	4290 	3500 	-0.160 
374	10 	31 	23 	47 	53.095 	2910 	4290 	3410 	-0.540 
375	10 	31 	23 	50 	3.797 	2820 	4290 	3410 	-0.120 
376	11 	1 	0 	0 	23.511 	2850 	4230 	3590 	-0.230 
377	11 	1 	0 	7 	38.897 	2910 	4320 	3380 	0.200 
378	11 	1 	0 	13 	0.185 	2850 	4290 	3620 	0.200 
379	11 	1 	0 	15 	8.761 	2850 	4320 	3770 	0.160 
380	11 	1 	0 	17 	33.860 	2850 	4260 	3320 	-0.130 
381	11 	1 	0 	20 	58.099 	2970 	4200 	3230 	-0.110 
382	11 	1 	0 	21 	50.802 	2910 	4290 	3560 	0.290 
